,UnixTime,Tweet,Polarity
324,1575987764407.0,RT @alex__0671: Elimde 200tl ecopayz var sl icin verelim eft saati gecmeden.Bankalarim ziraat vakifbank buyrun dm.#eco #ecopayz,1.0
325,1575987652545.0,so young,1.0
326,1575987562203.0,@snagzm Bildiriminiz ile ilgili detayli inceleme yapabilmemiz icin Twitter ZiraatDestek DM den ATM lokasyon bilgis...,1.0
327,1575986122015.0,"Yerli Uretim Tasit Kredisi Kampanyasinda Sona Tarih! 0,49 Faiz Oranli En Uygun Ziraat Bankasi, Halkbank Vakifbank T...",1.0
332,1575985953540.0,"@tarihinotlar34 @VakifBank Merhaba, basvurunuz hakkinda inceleme yapabilmemiz icin T.C. Kimlik numaraniz ile bilgil...",1.0
333,1575985684931.0,@VakifBank vakifbank uygulamasi calismiyor. 2 gundur faturalarimi odeyemiyorum,1.0
334,1575985431431.0,"RT @MelhordoVolei: MERCADO
Imprensa italiana afirma que o Vakifbank estaria preparando uma grande proposta para ter Paola Egonu na proxima...",1.0
335,1575985423797.0,"RT @Ert_okr_24: Bak kocum! Sen kisa pantolunla gezerken ben agababalarina racon kesiyorumdum.. 

#VakifBank
#Istanbul",1.0
336,1575985148813.0,Hala mevcut isteyen olursa veririm.Veremezsemde oynarim hahaha:):),0.0
338,1575984846020.0,"@_Math29 Olha , segundo a imprensa turca a Bella nao fica para a proxima temporada.",0.0
339,1575984802137.0,RT @elifcetineer: Cehennem simulator diye oyun yapcam VakifBank subesinde sira bekletcem ve islem suresini de sonsuz yapicam. Based on true...,1.0
340,1575984795540.0,LENDA FAZ ASSIM,1.0
342,1575984691302.0,"RT @VolleyElite: Tigil tigilan nyo ako vakifbank! 5 yrs contract ni haak sa inyo! Hahahaha

So ano na? Bartsch, gabi, zhu and egonu?!

Shut...",1.0
345,1575974417539.0,@VakifBank @VakifBankDestek Sizin 512 nolu sb izin muduru kapima gelip yalvariyodu cek karnesi verelim kredi karti...,0.0
346,1575974392623.0,"If VakifBank acquires both ZT and Paola for next club season, they sure are serious. Both multi-million contracts f...",1.0
349,1575974308900.0,@VakifBank Sizin 512 nolu sb izin muduru kapimiza gelip yalvariyodu cek karnesi verelim kredi karti verelim bes yap...,0.0
352,1575973905542.0,"RT @_mehmetatalay: ECZACIBASI VE VAKIFBANKIN BUYUK BASARISI, NIYE SES GETIRMEDI? Cindeki, Dunya Kulupler Sampiyonasinda daha once ustust...",1.0
353,1575973851276.0,@heyjaydreamerr @VolleyCenterPH GO VAKIFBANK INSTANBUL KULUBU,1.0
356,1575901904787.0,"RT @MuratAy11309487: 3 Araci kurumun (OYAKYatirim, turkishyatirim, sekerbank) vurdumduymazligi (!). (Yorumlari okuyun)@isbankasi @Akbank @Y...",1.0
357,1575901806079.0,"RT @Ordu_MEM: Il Milli Egitim Mudurumuz @kutlutekinbas,Altinordu Vakifbank Ilk/Ortaokulunu ziyaret ederek,idarecilerden yuruten calismalar...",1.0
358,1575901703442.0,@sefikdiyin @YapiKredi @Akbank @VakifBank arkadasa bi yardimci olun sevaptir.,1.0
359,1575901703156.0,@VakifBankDestek @VakifBank @Vakif_Emeklilik Verdiginiz cagri numarasi calismiyor iptal icin bekleyiniz diyor ve so...,0.0
360,1575901569323.0,"Il Milli Egitim Mudurumuz @kutlutekinbas,Altinordu Vakifbank Ilk/Ortaokulunu ziyaret ederek,idarecilerden yuruten...",1.0
363,1575900841494.0,"@underratedozzy @VakifBank Merhaba, basvurunuz hakkinda inceleme yapabilmemiz icin T.C. Kimlik numaraniz ile bilgil...",1.0
364,1575900799117.0,"@ceyhunerhan @VakifBank Merhaba, belirttiginiz konu hakkinda Vakif Emeklilik ile iletisime gecmeniz gerekmekte olup...",1.0
366,1575900770642.0,"Il Milli Egitim Mudurumuz @kutlutekinbas,Altinordu ilcesinde ikili egitimden tekli egitime gecis kapsaminda Sahinci...",1.0
602,1575876248487.0,"@Gamzckmak @VakifBank Merhaba, belirttiginiz konu hakkinda Vakif Emeklilik ile iletisime gecmeniz gerekmekte olup m...",1.0
603,1575876238352.0,"RT @sportstv: VakifBank dunya ucuncusu!

FIVB Kadinlar Dunya Kulupler Sampiyonasinda Italya temsilcisi Igor Gorgonzolayi 3-0 yenen temsil...",1.0
999,1575557592696.0,"RT @Code644: Velev ki satiliyor?
Bize danisilacak degil ya? Biz kimiz ki? Kimiz biz?! Kimiz ya biz?!",1.0
