text|sentiment
göqchemabel İşlemiz sonuçlandırılmış olup her türlü görüş, öneri ve sorularınız için hesabımızı takip edebilirsiniz.|neutral
iş işten geçti ne güzel ulaştınız bana, hiç şaşırtmadınız|negative
malesef yok arayan 2 gün geçti Umarım siz arayan firmalardansınız, buradan ilgili gözüküptr|positive
Merhaba, ad-soyad ve iletişim numaranızı direkt mesajla iletirseniz ekibimiz en kısa sürede sizinle iletişime geçecektir.?|neutral
Teşekkürler, hatalı bilgi giriyormuşum, çözüldü sorun :)|positive
Maaş müşterisinden hesap işletim ücreti almak ne demek ya |negative
çok yardımcı oldunu gerçekten?|negative
ALÜSESRA Esra Hanım, işleminiz sonuçlandırılmış olup görüş, öneri ve sorularınız için hesabımızı takip edebilirsiniz.|neutral
ne ya konuyla ilgili, uygun olduğunuz zmn filan diyosunuz adam gibi hizmet verin yeter artikk!!!!|negative
Nazo_Elf göztepeden göztepe teslimat yapamamış çok adı rezilsiniz! Aslah belanızıversinödeme içinde bekliceksiniz bizim gibi|negative
bırakın bu sözleri her ay şikayet ediyorum her ay aynı mazereti söylüyorsunuz... Başka bir bahane bulun artık...|negative
Momento - Garanti Paracard kullanabilmek  için saatlerdir telefon güncelleme onayı bekliyorum Sonlandırmak mümkün müdür |negative
DM ile ilettim Teşekkürler.|positive
arayacak mısınız?|neutral
Kredi kartı şifremi alamıyorum yardım edin|neutral
kullanılabilir bonusu kullanamama  http://tco/PIAkdNzFtw|negative
Ulaşmanıza gerek yok o hesabı kullanmıyorum zaten Kullanmayacağım da.|negative
Sevgili ;iki kartı iki aydır teslim etmek için Atatürk Havalimanı'nı bulamayan kuryenet ile çalışıyorsunuz .. Bilim istedim|negative
dum cevap gelmeyince şubedeki GÖREVLİ; ""Sizin sıra ya bu akşam ya yarın öğleye doğru gelir"" dedi http://tco/aqMUQ82M3S|negative
30 dk geçti iletelisaygılar|negative
yorum benim sıra ne vakit gelir http://tco/yTuhGetIZL|negative
bunun da iki açıklaması var: 1) talebi karşılayacak altyapınız yok  2) o kadar şikayet var ki, telefonlarınız kilitlenmiş!|negative
http://tco/SWdzVVMk0d burdaki şikayetler uzaydan mı gelmiş?|negative
müşteri hizmetleri hattınız (4440333) iki saattir meşgul hani hat açılır da beklemede kalırsınız, o değil, bildiğiniz meşgul.|negative
444 0 333 u kim tasarladı kafayı yemeden bi sonuca ulaşılmıyor burda bulan kişi kendisi kullanmış mı hiç?|negative
garantinin yüzünden psikolojim bozuldu mahkemeye versem alacağım tazminat iyileşmeme yeter mi?|negative
garanti bankası yalancı müşteri temsilcileri ve çaktırmadan yaptığı uygulamalarıyla paramı çaldı.|negative
Telefonumda yeterli bakiye olmadığı için kart şifremi alamıyorum ne yapmalıyım?|neutral
merhaba miles & smiles kredi kartımı göndermişsiniz ancak elime ulaşmadı lütfen kontrol edip bilgi verebilir misiniz|positive
Merhaba Başlık parası için 25 bin euro kredi çekmek istiyorum faiz oranları hakkında bilgibi verir misiniz??|negative
ekstremde yıllık aidat ücreti kesilmiş geçen sene bana iadesini yapmıştınız bu senede iadesini talep ediyorum !|negative
Bu sene kişiye özel uygulamamız yok diyerek kart ücreti iptalini gerçekleştirmedinizTebrik ederim Bir müşterinizi kaybettiniz|negative
ismetbilgi2 yapar hiç şüpheniz olmasın ağır işsizdir kendisi asjdkfl|negative
bir sorun var ve aramanızı bekliyorum dm'den gerekli olan bilgileri gönderdim|neutral
kaç kez daha mention atmam gerekiyor,aramanız içinisterseniz 300 mention daha atarım ben.|negative
merhaba, 4 gün önce gelen bir çağrıda 'vadesiz tl hesaplarından 58 tl ' kesilecektir diyor nedendir?|neutral
yollayamıyorum dm açık değil, lütfen cvp verir misiniz?|neutral
iletişime geçmeniz için ad soyad ve telefonumu dm ile yolluyorum|neutral
diğer bankların hesap işletim ücretleri çok daha düşükken bu fahiş fiyatın sebebi nedirmaaş hesabımı kapatmanın yolu nedir?|negative
şubenizde maaş hesabım varvadesiz hesap,kredi kartım yok58 tl ücret alınacak diye sms geldivadesiz hesaptan 58 tl çok fazla|negative
mesaj gönderdim Aynı otomatik mesajı yollayıp durmayın|negative
Teşekkürler|neutral
en kısa süre kavramınızı yeniden gözden geçirmeniz gerekiyor zira 2 gün geçti hala iletişime geçen yok.|negative
bankanız da ulaşamıyor zaten hala ınternet bankacılığı için gerekli olan şifreyi gönderemiyor.|negative
beni aramanızı şiddet ile istirham ediyorum.|negative
merhaba kredi kartından 2000 lira 11 ay taksitli nakit avans çekmek istiyorum geri ödemem herşey dahil net olarak ne kadar ?|neutral
beni acilen aramanızı bekliyorumdm'den iletişim bilgilerinizi belirtin demenize gerek yok,çünkü belirttim ve bekliyorum|negative
Çok hızlı davrandığınız ve sorumu cevapladığınız için ekibinize çok teşekkür ederim :)|positive
Maaş müşteriniz olmasam sizinle kesinlikle çalışmazdım!! |negative
Sizin öğle yemeği dediğiniz zaman dilimi kaçta bitiyor ??  |negative
Söylerim ama 50 liranızı alırım ! |negative
SamanyoluSeval aynensormasak daha iyi olacaktı..|negative
kart başvurusu ne zaman sonuçlanır|neutral
SORUNUMUN ÇÖZÜLMESİNİ İSTİYORUMEĞER ÇÖZÜLMEZSE TWETER DEN TÜRKİYE DUYURACAĞIMFERİT ŞAHENK SORUMLULARINA GEREKENİ YAPACAKTIR|negative
Kolay Gelsin Bende Bonus kart var FB BONUŞA çevirebilirmiyim ?|neutral
çağrı merkezindeki sesli yanıt sistemi cinnetlik kredi kartımla ilgili soruma yanıt istiyorum insan! birinden.|negative
RTçı_baba masak daha iyimiş :)|negative
SamanyoluSeval 'dük,sormaz olaydık..aldık boyumuzun ölçüsünüoysa 3 yıllık güzel bir beraberliğimiz vardı bonus kart ile|negative
RTçı_baba :)))|negative
efendiler beni müsait olduğunuzda arar mısınız?|negative
Gönderdim|neutral
Bir zamanlar Garanti'nin yeşil rengi huzur ve güvendi.. Şimdi ise üst sıraya müşteriyi koymayan sıradan bir bankanın rengi...|negative
Şu son 4 ayda bana yaşattıklarından sonra evet Garantili olmak demek=Sorun yaşamak ve hiçe sayılma ihtimalimiz garanti demek!!|negative
Bu müşteri hizmetlerinizden, çifte standartlarınızdan, müşteriyi ""yok"" sayan bankacılık anlayışınızdan memnun olan var mı??|negative
Taksitli nakit avans kullanmak için çağrı merkezinizi aradım fakat yardımcı olamadılar bana ulaşabilir misiniz |negative
neden bu kadar saçma bi bankasınız ?|negative
Borcum gözükmediği halde borç göstermek nedir  |negative
Benim kartıma iade edilen para neden girdi çıktı olarak gösterilip parça parça ödeniyor anlamadım ?|negative
yaşamdekoderi Keziban Hanım, işlemiz sonuçlandırılmış olup her türlü görüş ve sorularınız için hesabımızı takip edebilirsiniz|negative
merhaba yardımcı olacak biri varmı acaba yetkililerden kredi kartıyla ilgili sorunum var acil dönüş bekliyorum müsaitim|neutral
merhaba bir kart talebim vardı fakat hala bir geri dönüş alamadım bilgi verebilr msiniz|negative
en ihtiyaç duyduğu anda mağdur ettinizyagözümde bir banka olarak hiçbir değeriniz kalmadıen kısa sürede bırakıyorum sizi|negative
10yıldır 7defa kredi çekenfaturaları gününde ödeyenher işlemmini şiizden yapan bir müşteriyi|negative
iletişim bilgilerimi gönderdim İyi günler|positive
Kredi kartımı şubeden teslim aldım fakat şifre almak istediğimde aradığım numarada kart teslim alınmamış gözüküyor dediler |neutral
dokuz_mm Devlet'e ödediğim vergi kadar kiredi alabilmem gerekli dünyanın heryerinde bu böyle neden ülkemizde bu uygulama yok|negative
memnun olurum, teşekkürler...|positive
bekliyorum teşekkürler|neutral
öncelikle adım Selin değil Selen ve tweetimi bana ulaşmanızı istemediğim için atmıştım.|negative
Teşekkür ederim Peki hangisinin Maslak Şubesi olduğunu nerden anlayabilirim  Kartların|positive
çağlaaakyazı Çağla Hanım işlemiz sonuçlandırılmış olup her türlü görüş ve sorularınız için hesabımızı takip edebilirsiniz.|positive
kartı işlemleri için 410'lu hattınızı arıyorum beni 444'e 444'te beni 410'a yönlendiriyor bana ulaşır mısınız?|negative
En son Pazartesi ulaşacaktınız Ekibinize de bankanıza da güvenmiyorum!!|negative
hadi bakalım inşallah.|negative
Merhaba, sanal kredi kartımla ilgili bir sorum var, yardımcı olur musunuz Tsk.|neutral
follow edip sonra unfollow etmişsiniz, sorun yok :-) |negative
Pardon ama sabah sabah müşterinizle dalga  mı geçiyorsunuz siz 30000 141 oran 24 ay vade falan  http://tco/VACqwuNA8e|negative
merhaba,  bankanızda mevcut kullanılmayan bütün hesaplarımın kontrol edilip kapatılmasını rica ediyorum, teşekkürler.|negative
size ilettiğim şikayet ile ilgili çalışmaların sürdüğünü mektupla adrese yollamışsınız gerek yok ağaç kesilmesine mail atın|negative
sanada sorayım bari neden bana kredi kartı vermiyorsunuz İsim gücüm var sigortamda var vermiyosun e bari sebeb belirtdımı ama|negative
cumhurbaşkanı kart aidatı artık yok diyor, sizde inadına bana ekstremde yılbaşında para alçam diyosunuz ?|negative
9 - 12 arasında arayabilirsiniz|neutral
Eksi bakiyeye düştüğü için habersizce kapatılan ogs cihazına ne yapılır Bir de üstüne 46 tl ceza Sabah bankaya gideyim mi?|negative
yarın öğle saatleri uygun olucaktır ancak öğlen 3 e kadar|neutral
Yarın 18:30'dan sonra uygunum İlginize teşekkür ederim.|positive
öğrencinin de vadesiz hesabından 58 lira almak hangi vicdana sığar  58 lirayla bir ay geçinmeye çalışan arkadaşlarım var|negative
10:00-20:00 saatleri arası haftaiçi|neutral
perşembe bugün 12:00 da  arayabilirsiniz veya 12:00' dan sonrsda olabilir|neutral
garanti tarafından arandım ama hala soruma net bir cevap yok Yapılan işlem hangi kurdan hesaplandı?|negative
internet şubesinden şans oyunları sitelerine yapılan havale-eft lerde işlem ücreti alıyormusunuz?|neutral
şimdi|neutral
gün içerisinde haddinden fazla arayarak yeterince rahatsız ettiniz,hiç bir konuda yardıma ihtiyacım yok.|negative
Trabzon Kemerkaya mah  Kahramanmaraş Caddesi No:18 nolu şubeniz|neutral
Hesap işletim ücreti ödememek için Vadesiz Hesabıma nasıl öğrenci tanımlaması yaptırabilirim?|neutral
amk bankası yarın sana  olan tüm borcumu kapatıyorum şerefsiz banka inşallah iflas edersin|negative
Kredi Kartı limiti arttırılması neden uzun sürüyor Üstelik daha önce de o limiti teklif etmişken.|negative
size mesaj olarak belirttim sorunumu|neutral
Canım ben iletişime geçmeyin diyorum zaten be:/ |negative
ben en yakın paramatik nerde biliyorum ama maalesef hiç yakın değil|negative
son olarak 55 verelim bir sene kalın dendi hepsini iade edin ömürlük kalayım dedim yine de teşekkürler kapatmak istemezdim|negative
bir bankacı olarak hakem heyetine başvurmak istemezdim ama sanırım hem kartı kapatacağım hemde başvuruda bulunacağım|negative
ilgi ile arandım fakat yapılan teklif çok kırdı 68 TL kesildi 55 tl iadeedelim dendi para için değil bu sitemim verilen değere|negative
ya bırak ne yardımcı olacaksın bana 2 saat bankada bekletiosunuz sanki bizim tüm işimiz sizsiniz Müşteri memnuniyeti sıfır.|negative
Merhaba nakit avans çekme işleminde , teknik bir arızadan dolayı işleminiz gerçekleştirilemiyor,hatası alıyorum,|neutral
görünen o ki ne karttan ne kesilen paradan haber var  neyse düşünürüz artık birşeyler Bari kartı iptal edin |negative
heee|neutral
Gönderdim teşekkürler|neutral
İyi günler vadesiz hesabımda iki adet otomatik ödeme talimatım var 2014 yılında hesap işletim ücreti kesilecekmi Şu an yok.|neutral
Müşteri temsilciniz Aslı hanıma burdan da kocaman teşekkürler Böyle güzel insanların kıymetini bilin Garanti  kolay gelsin|negative
beni asli hanım aramıştı sanırım rica etsem tekrar dönüş yapabilir mi Eft ile ilgili acil.|neutral
malasef TBB ye başvurmak durumunda kaldım Bilg.|negative
bir rakam hatası yüzünden farklı bir hesaba yatırılan paranın iadesi konusunda birşey yapıyor musunuz ?|neutral
kredi kartımdan kesilen aidatın iadesini istiyorum 68 TL için bamkanızdan soğumak istemiyorum bir bankacı olarak|neutral
biraz önce aslı hanım aradı görüştük teşekkürederim hızlı kart teslimatı ve hızlı geri dönüş için :)|positive
iyi günler, hala beklemekteyim Çok zor olmasa gerek Teşekkürler|negative
Benim bir sorunum var çağrı merkezinizle bir türlü irtibata geçemedim yardımcı olur musunuz?|negative
Garantide yeni uygulama: arayıp müzik dinletiyorlar Joy FM ile ortak mı oldular acaba?|negative
mrb garanti yetkilileri tlf la limit bildirimiyle ilgili sağlıklı bilgi alamıyorum yardımcı olurmuşunuz|negative
Garanti aradı: merhaba, şu iş için şunu, onu veya bunu arayın, dedi Siz bir işlem yapamıyorsanız ben neden sizinle muhatabım?|negative
Telefon Bankacılığından hiç bu kadar kesin ve net sonuç alamamıştım Teşekkürler ve teşekkürler Aslı Hanım.|positive
Sayın Bakanım byalıbabacan ekteki yazıyı okumanızı rica ediyorum  http://tco/NqzXDiXbgE|negative
ankara maltepe şubesi kot bilmiyorum|neutral
kot bilmiyorum ama ankara maltepe şubeşî isimden çıkmazmı|neutral
Bonus Flexi Card'larımız çok hızlı bir şekilde bize ulaştı Bu kadar hız hiç beklemiyordum şaşırdım Tebrikler.|positive
Garanti Bankası cepten aramayıp evde de beni bulamayınca neden tribe girer soruyorum |neutral
Hemen dönüş yaptığınız için teşekkür ederim, eminim ki en kısa zamanda kart elimizde olacak...|positive
kredi kartım 2 aydır elime ulaşılmıyor neden ?|negative
Aslı Hanım'ın dikkatine: 00924CRS252 no'lu atm.|neutral
Merhaba iletişim için 05388880125 nolu cep ten ulaşabilirsiniz.|neutral
teşekkürler bekliyorum|neutral
sizinle görüşmek için uygunum ?|neutral
burada ofis olarak sınır sistemimiz çöktü sayenizde|negative
sürekli limit artım talebim anlamsızca ve açıklama yapmadan  red yediği için kredi kartımı iptal ettireceğimbilginize|negative
müşteri hizmetlerinize yine ulaşamıyorum robot yüzünden !!!!|negative
Teşekkürler, haber bekliyorum İyi çalışmalar...|positive
Geri dönüşünüz ve hassasiyetiniz için teşekkür ederim.. Umarım kısa zamanda buna benzer ısrarlar son bulur |positive
686883 nolu sanalpos kullanıcısıyız şube aracılığı ile dilekçe verdik Konu ile ilgili herhangi bir gelişme ve muhattap yok|negative
aidat bedeli geri çekilmedi,iptalini talep ediyorum,ben bu parayı öderim sorun değil,ayda 1 paket sigara az içerim...!|negative
Merhaba Garanti bankası maaş müşterisiyimVadesiz hesabımdan hesap işletim ücreti kesilmiştir Acilen iadesini talep ediyorum|negative
Neden mevduata ücret bedeli kesiyorsunuz diğerlerinde böyle bir durum yokken kazancınızı garanti'ye mi alıyorsunuz |negative
Acaba siz bu ""Hasırt the Blackboard"" mantığında kesilen mangirlarla ilgilenir misiniz sayın büyük patron  |negative
24 saat hizmetinizdeyiz diyorsunuz günlerdir yazıyorum hiç bir şekilde geri dönüş alamıyorum kaç 24 saat oldu sayamadım |negative
Telefon bankacılığı ile mi iletelim şikayetlerimizi Direkt mesajlara geri dönüş yapmayacaksanız niye beni takip ediyorsunuz |negative
Telefon bankacılığı ile mi iletelim şikayetlerimizi Direkt mesajlara geri dönüş yapmayacaksanız niye beni takip ediyorsunuz |negative
Soruyorum size neden her talimatımız bankanızda olduğu halde yıllık işlem ücreti tahsil ediyorsunuz Neden duymuyorsunuz |negative
Hayhay Soruyorum! 20 Kasım'da Sanal Kart işlemi gerçekleşmiyor diye destekten kayıt açıldı, neden hala Bİhaber bekliyorum?|negative
telefonla aranmaktan şikayetçiyim Şikayetimden dolayı siz beni hala telefonla arıyosunuz Tebrikler garanti|negative
merhaba,2 ay önce kart limitimi arttırmıştım ve nerdeyse 1aydır hergün gün içerisinde aranıyorum bu durumdan hiç memnun değlim|negative
tekrar arar mısınız ?|neutral
ilgisinden dolayı Esra Hanım'a Teşekkürler...|positive
tuğba_tanyeri başvurmadığın halde kredi ha! tuhaf şeyler...|negative
bekliyorum.|negative
başvurmadığım halde cep telefonuma ''krediniz onaylanmıştır'' mesajı geldilütfen beni bilgilendirin.|negative
30 dakika dolmadan sorunu çözen  sosyal medya ekibi, müşteri memnuniyeti konusunda oldukça başarılı Teşekkürler|positive
Beceriksizsiniz Tarafıma hemen dönüş yamazsanız konuyu üst yönetime taşıyacağımbilg  |negative
Gerekli bilgileri güncelledim geri dönüş yapmanızı bekliyorum |neutral
HALA ARAMANIZI BEKLİYORUM DALGA MI GEÇİYORSUNUZ SİZ İNSANLARLABU MU SOSYAL MEDYA HİZMETİNİZ??!!!!|negative
Evet soruyorum Tüketici Hakem heyetinin ödeme kararına rağmen neden dosya masrafı olarak benden alınan para iade edilmiyor   |negative
arkadaşlar en kısa süre demenizin üzerinden 3 saat geçtiulaşamadık demeyin diye elimde telefon bekliyorum Lütfen artık.|negative
1ay önce kapanmasını istediğim hesabım hala kapanmamış,ilgili şubenize ulaşamıyorum,bu kararın doğruluğu ispat edildi,bravo!|negative
1ay önce kapanmasını istediğim hesabım hala kapanmamış,ilgili şubenize ulaşamıyorum,bu kararın doğruluğu ispat edildi,bravo!|negative
iki saat oldu..|negative
bana ulaşırsanız sevinirim |neutral
bir saat oldu hatırlatayım istedim.|negative
saat 15:00 te arayabilirsiniz numaramı DM atıyorum.|neutral
dindindin müzik dinlemek istiyorsanız EurekoSigorta yı arayın çünkü açmıyorlar uzun uzun müzik dinleyebilirsiniz  |negative
aksi takdirde hem banka hesabımı kapattıracağımı hem de hakkınızda her türlü yasal yollara başvuracağımı ihtaren bildiririm.|negative
Kredi kartımın yıllık üyelik bedelinin iade edilmesini istiyorum.|neutral
bekliyorumkartımı kapatmak istiyorumteşekkürler.|neutral
kredi kartımın en geç 2 gün evvel bana ulaşacağını söyleyip beni memnun etmiştiniz, hala kartım bana ulaşmadı nasıl iş bu?|negative
bahsi geçen konuyla ilgili ekibinizin 3 gün gecikmeli gelişini kutlayacağım, iyi çalışmalar.@wauen|negative
aramayı düşünüyor Musunuz ???|negative
Rica etsem bana ulaşır mısınız Bonus kartımı iptal etmek istiyorum.|positive
Krediniz hazır sadece nüfus cüzdanınız ile gelip kredinizi alabilirsiniz diyorsunuz ama bankaya gittiğimde kredi red oluyor?|negative
şikayette bile bulunamıyorum çünkü şikayet hattına da ulaşılamıyor|negative
ataşehir şubeniz sabah 9dan beri telefonları yanıtlamıyor 8 kere aradım kimse ilgilenmiyor!|negative
Merhaba Gün içinde, 1130'dan sonra uygunum.|neutral
merhaba 41 nokia lumia yarışması ne zaman sonuçlanacak  Teşekkürler.|neutral
yarın 4ten sonra veyahut tam şu an|neutral
Mesaj attım.|neutral
uygunbodur hesap işletim ücretlerine hak veriyorum bazen : ) |positive
